galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1,cluster
UGC06786,0.7050921883594179,0.9821486934467504,3.271663513367133,0.2222222222222222,0
UGC06787,0.7355668923846027,1.0784590203352475,3.99586677977468,0.2112676056338028,0
UGC06818,1.027480444302468,1.0971399992539714,2.3653888829374385,0.5,2
UGC06917,1.0495100592718063,0.4329044445360425,1.5445399639979145,0.7272727272727273,2
UGC06923,0.5211195575152924,0.4882400592783577,0.806227746924622,0.0,0
UGC06930,1.0655695312208489,0.431136821378538,1.730790676279,0.7,2
UGC06973,0.3836820405832775,0.2763184828987993,0.7736016946976989,0.0,0
UGC06983,1.8286887391445057,0.6476145704641149,2.705392220491451,0.8823529411764706,2
UGC07089,0.5395403683576555,0.4241613790597432,1.2610535521337374,0.1666666666666666,0
UGC07125,0.7013973057366983,0.3948051016751088,1.2508300450469545,0.0769230769230769,0
UGC07151,0.6388559804206616,0.3088885777902586,0.8793770858177792,0.0,0
UGC07232,0.5671242050354487,0.7234589232455996,1.5691286022706266,0.25,0
UGC07261,1.229432626676976,0.5361841475069151,1.7922232228363029,0.5714285714285714,0
UGC07323,0.2931252328064676,0.2297520343089617,0.6175204420190016,0.0,0
UGC07399,4.032200316037198,1.493859606550152,5.949078640983855,1.0,2
UGC07524,1.7561398992778854,0.4988287548806803,2.266974575635609,0.935483870967742,2
UGC07559,0.6441875356488572,0.5322157406984505,1.1450758908116203,0.4285714285714285,0
UGC07577,0.248879979423315,0.2524212403709694,0.4140141999443928,0.0,0
UGC07603,2.270063242431545,1.536076604872782,4.607197473147124,0.75,2
UGC07608,4.346824149128311,1.5067463024684564,5.43131574984058,0.875,2
UGC07690,0.642519272609486,0.3728429829987196,1.1224613055173691,0.1428571428571428,0
UGC07866,0.917867369760648,0.2412047909777888,1.3165054155960116,0.4285714285714285,0
UGC08286,2.739032528742185,0.8006205889356233,3.9191994482237686,0.9411764705882352,2
UGC08490,3.145385947142322,1.538578259509271,5.357096859329638,0.9,2
UGC08550,2.7707273924381983,1.2210399910594236,4.300124681705517,1.0,2
UGC08699,0.452697244592969,0.6175327614748175,2.31080684963021,0.1219512195121951,0
UGC08837,0.4888223377179346,0.5685024472666906,0.9314946465574376,0.0,0
UGC09037,0.3518303333400898,0.4047434126176874,0.7937612242592675,0.0,0
UGC09133,0.7009433417460035,0.8817524079240983,2.742755846492097,0.2794117647058823,0
UGC09992,0.5114313864297539,0.1379125521574212,0.741806488102881,0.0,0
UGC10310,1.3745340232044807,0.1468337918354648,1.5840890387858346,1.0,2
UGC11455,0.2995331616041558,0.3098463240898106,0.7570053870995048,0.0,0
UGC11557,0.4760094042483491,0.2771431876206678,0.9669617873838214,0.0,0
UGC11820,2.2378691077829105,0.8556351819385886,3.6288845461785897,0.8,2
UGC12506,1.5841136804107656,1.4496111033397132,9.085230726189463,0.7419354838709677,2
UGC12632,2.4037822966384668,0.355497290893065,2.95222516306771,1.0,2
UGC12732,2.800900249758368,0.5893154085863987,3.501389172334498,1.0,2
UGCA281,1.0007698338582194,0.4684747733210077,1.8297528297528305,0.4285714285714285,0
UGCA442,3.7687781476205706,1.8590010314163947,7.115609910742909,1.0,2
UGCA444,3.736166336533119,2.24015945933018,13.118545385129323,1.0,1
